author_name,title_counts
"Stubbes, Phillip.?",14
"Hollyband, Claudius, 16th cent.?",13
"Munday, Anthony, 1553-1633.?",13
"Whetstone, George, 1544?-1587??",13
"Lodge, Thomas, 1558?-1625.?",12
"Mornay, Philippe de, seigneur du Plessis-Marly, 1549-1623.?",12
"Rich, Barnabe, 1540?-1617.?",12
"Jewel, John, 1522-1571.?",11
T. W. 1549?-1608.?,11
"Babington, Gervase, 1550-1610.?",10
"Churchyard, Thomas, 1520?-1604.?",10
"Rogers, Thomas, d. 1616.?",10
"Harvey, Richard, 1560-1623??",9
"Holinshed, Raphael, d. 1580??",9
"Lupton, Thomas.?",9
"Peele, George, 1556-1596.?",9
S. R. d. 1617.?,9
"Wright, Leonard, b. 1555 or 6.?",9
"Bunny, Edmund, 1540-1619.?",8
"Cosin, Richard, 1549?-1597.?",8
"Fraunce, Abraham, fl. 1587-1633.?",8
"Mascall, Leonard, d. 1589.?",8
"Norden, John, 1548-1625??",8
"Phillips, John, fl. 1570-1591.?",8
"Rainolds, John, 1549-1607.?",8
"Spenser, Edmund, 1552?-1599.?",8
"Viret, Pierre, 1511-1571.?",8
"Allen, William, 1532-1594.?",7
"Barrow, Henry, 1550?-1593.?",7
"Becon, Thomas, 1512-1567.?",7
"Bourne, William, d. 1583.?",7
"Burghley, William Cecil, Baron, 1520-1598.?",7
France. Sovereign (1574-1589 : Henry III)?,7
France. Sovereign (1589-1610 : Henry IV)?,7
H. R. fl. 1585-1616.?,7
"Nicholls, John, 1555-1584??",7
"Norman, Robert, fl. 1590.?",7
"Prime, John, 1550-1596.?",7
"Baley, Walter, 1529-1592.?",6
"Bancroft, Richard, 1544-1610.?",6
"Burton, William, d. 1616.?",6
"Deloney, Thomas, 1543?-1600.?",6
"Digges, Leonard, d. 1571??",6
"Drayton, Michael, 1563-1631.?",6
"Fulke, William, 1538-1589.?",6
"Gibbon, Charles, fl. 1589-1604.?",6
"Hurault, Michel, d. 1592.?",6
"Hutchins, Edward, 1558?-1629.?",6
